interaction_id,date,channel,agent_id,agent_name,wait_time_seconds,handle_time_seconds,status,mes,sla_ok,performance_level
38,2024-02-04,Chat,4,Agent_D,90,98,Attended,February,False,Excelente
39,2024-02-23,Email,2,Agent_B,106,885,Attended,February,False,Crítico
40,2024-01-30,Email,2,Agent_B,65,0,Abandoned,January,False,Excelente
41,2024-02-06,Chat,5,Agent_E,41,150,Attended,February,True,Excelente
42,2024-02-05,Email,4,Agent_D,84,0,Abandoned,February,False,Excelente
43,2024-02-04,Chat,5,Agent_E,26,546,Attended,February,True,Crítico
44,2024-02-28,Call,2,Agent_B,24,0,Abandoned,February,True,Excelente
45,2024-02-04,Call,2,Agent_B,39,0,Abandoned,February,True,Excelente
46,2024-02-27,Call,3,Agent_C,96,806,Attended,February,False,Crítico
47,2024-02-19,Call,4,Agent_D,101,778,Attended,February,False,Crítico
48,2024-01-16,Call,4,Agent_D,17,840,Attended,January,True,Crítico
49,2024-02-08,Chat,4,Agent_D,44,0,Abandoned,February,True,Excelente
50,2024-01-18,Email,1,Agent_A,83,512,Attended,January,False,Crítico
51,2024-02-12,Call,2,Agent_B,53,312,Attended,February,True,Crítico
52,2024-01-27,Email,3,Agent_C,60,315,Attended,January,True,Crítico
53,2024-02-23,Call,3,Agent_C,63,520,Attended,February,False,Crítico
54,2024-02-10,Email,2,Agent_B,63,0,Abandoned,February,False,Excelente
55,2024-02-22,Chat,1,Agent_A,119,0,Abandoned,February,False,Excelente
56,2024-02-12,Chat,1,Agent_A,37,0,Abandoned,February,True,Excelente
57,2024-02-05,Call,3,Agent_C,36,791,Attended,February,True,Crítico
58,2024-01-22,Call,3,Agent_C,47,74,Attended,January,True,Excelente
59,2024-01-26,Call,4,Agent_D,105,127,Attended,January,False,Excelente
60,2024-02-27,Chat,3,Agent_C,46,341,Attended,February,True,Crítico
61,2024-01-11,Chat,1,Agent_A,5,196,Attended,January,True,Excelente
62,2024-01-02,Call,1,Agent_A,14,172,Attended,January,True,Excelente
63,2024-01-05,Call,5,Agent_E,54,691,Attended,January,True,Crítico
64,2024-01-18,Chat,5,Agent_E,71,0,Abandoned,January,False,Excelente
65,2024-02-15,Call,5,Agent_E,48,0,Abandoned,February,True,Excelente
66,2024-01-19,Chat,2,Agent_B,79,446,Attended,January,False,Crítico
67,2024-01-31,Call,5,Agent_E,74,0,Abandoned,January,False,Excelente
68,2024-02-15,Email,2,Agent_B,116,0,Abandoned,February,False,Excelente
69,2024-02-13,Call,2,Agent_B,60,0,Abandoned,February,True,Excelente
70,2024-01-22,Call,4,Agent_D,68,834,Attended,January,False,Crítico
71,2024-02-03,Email,5,Agent_E,34,622,Attended,February,True,Crítico
72,2024-01-04,Chat,5,Agent_E,38,126,Attended,January,True,Excelente
73,2024-02-02,Chat,1,Agent_A,72,738,Attended,February,False,Crítico
74,2024-02-01,Email,4,Agent_D,84,0,Abandoned,February,False,Excelente
75,2024-01-13,Chat,3,Agent_C,105,0,Abandoned,January,False,Excelente
76,2024-01-27,Call,1,Agent_A,82,567,Attended,January,False,Crítico
77,2024-02-19,Email,5,Agent_E,77,0,Abandoned,February,False,Excelente
78,2024-02-20,Call,5,Agent_E,116,574,Attended,February,False,Crítico
79,2024-01-09,Email,5,Agent_E,87,420,Attended,January,False,Crítico
80,2024-02-09,Email,5,Agent_E,104,388,Attended,February,False,Crítico
81,2024-01-20,Chat,5,Agent_E,26,0,Abandoned,January,True,Excelente
82,2024-01-11,Chat,3,Agent_C,88,863,Attended,January,False,Crítico
83,2024-01-01,Chat,2,Agent_B,20,0,Abandoned,January,True,Excelente
84,2024-01-15,Call,3,Agent_C,99,410,Attended,January,False,Crítico
85,2024-02-20,Chat,2,Agent_B,19,0,Abandoned,February,True,Excelente
86,2024-01-19,Call,4,Agent_D,24,0,Abandoned,January,True,Excelente
87,2024-01-07,Chat,2,Agent_B,6,695,Attended,January,True,Crítico
88,2024-02-14,Email,4,Agent_D,9,0,Abandoned,February,True,Excelente
89,2024-01-09,Email,1,Agent_A,96,154,Attended,January,False,Excelente
90,2024-01-09,Chat,1,Agent_A,59,0,Abandoned,January,True,Excelente
91,2024-02-03,Call,5,Agent_E,21,224,Attended,February,True,Bueno
92,2024-01-11,Chat,2,Agent_B,24,145,Attended,January,True,Excelente
93,2024-02-05,Call,4,Agent_D,53,0,Abandoned,February,True,Excelente
94,2024-01-06,Call,2,Agent_B,106,0,Abandoned,January,False,Excelente
95,2024-01-16,Email,1,Agent_A,107,486,Attended,January,False,Crítico
96,2024-02-08,Email,5,Agent_E,73,0,Abandoned,February,False,Excelente
97,2024-02-18,Chat,5,Agent_E,32,0,Abandoned,February,True,Excelente
98,2024-02-19,Chat,5,Agent_E,80,791,Attended,February,False,Crítico
99,2024-02-15,Chat,5,Agent_E,98,0,Abandoned,February,False,Excelente
100,2024-01-05,Chat,2,Agent_B,8,67,Attended,January,True,Excelente
101,2024-01-18,Email,1,Agent_A,79,775,Attended,January,False,Crítico
102,2024-01-02,Chat,5,Agent_E,55,0,Abandoned,January,True,Excelente
103,2024-01-22,Call,5,Agent_E,106,0,Abandoned,January,False,Excelente
104,2024-01-18,Email,4,Agent_D,9,84,Attended,January,True,Excelente
105,2024-01-29,Chat,2,Agent_B,36,0,Abandoned,January,True,Excelente
106,2024-02-18,Email,2,Agent_B,33,0,Abandoned,February,True,Excelente
107,2024-01-06,Chat,2,Agent_B,113,660,Attended,January,False,Crítico
108,2024-02-21,Chat,4,Agent_D,103,0,Abandoned,February,False,Excelente
109,2024-01-27,Call,5,Agent_E,105,0,Abandoned,January,False,Excelente
110,2024-02-23,Email,1,Agent_A,120,195,Attended,February,False,Excelente
111,2024-02-11,Call,1,Agent_A,45,851,Attended,February,True,Crítico
112,2024-02-26,Chat,2,Agent_B,67,756,Attended,February,False,Crítico
113,2024-02-22,Call,2,Agent_B,97,244,Attended,February,False,Bueno
114,2024-01-03,Chat,1,Agent_A,82,93,Attended,January,False,Excelente
115,2024-02-07,Email,2,Agent_B,90,726,Attended,February,False,Crítico
116,2024-01-08,Call,3,Agent_C,118,385,Attended,January,False,Crítico
117,2024-01-08,Chat,1,Agent_A,95,801,Attended,January,False,Crítico
118,2024-01-05,Email,2,Agent_B,41,66,Attended,January,True,Excelente
119,2024-01-23,Email,5,Agent_E,40,93,Attended,January,True,Excelente
120,2024-01-17,Chat,4,Agent_D,111,0,Abandoned,January,False,Excelente
121,2024-01-04,Email,1,Agent_A,94,289,Attended,January,False,Crítico
122,2024-01-21,Chat,3,Agent_C,31,0,Abandoned,January,True,Excelente
123,2024-02-20,Call,4,Agent_D,103,0,Abandoned,February,False,Excelente
124,2024-01-19,Call,3,Agent_C,96,341,Attended,January,False,Crítico
125,2024-01-10,Email,2,Agent_B,51,0,Abandoned,January,True,Excelente
126,2024-01-30,Chat,4,Agent_D,62,125,Attended,January,False,Excelente
127,2024-01-06,Chat,2,Agent_B,16,585,Attended,January,True,Crítico
128,2024-02-08,Call,2,Agent_B,18,798,Attended,February,True,Crítico
129,2024-02-03,Chat,1,Agent_A,5,708,Attended,February,True,Crítico
130,2024-02-21,Call,1,Agent_A,90,0,Abandoned,February,False,Excelente
131,2024-01-23,Call,5,Agent_E,13,0,Abandoned,January,True,Excelente
132,2024-01-09,Call,2,Agent_B,45,884,Attended,January,True,Crítico
133,2024-01-18,Call,4,Agent_D,63,0,Abandoned,January,False,Excelente
134,2024-01-22,Call,5,Agent_E,94,471,Attended,January,False,Crítico
135,2024-01-21,Call,4,Agent_D,18,0,Abandoned,January,True,Excelente
136,2024-01-31,Call,1,Agent_A,27,0,Abandoned,January,True,Excelente
137,2024-02-29,Call,2,Agent_B,113,339,Attended,February,False,Crítico
138,2024-01-05,Chat,4,Agent_D,73,0,Abandoned,January,False,Excelente
139,2024-02-26,Chat,4,Agent_D,57,0,Abandoned,February,True,Excelente
140,2024-02-26,Call,5,Agent_E,91,835,Attended,February,False,Crítico
141,2024-01-23,Chat,4,Agent_D,40,0,Abandoned,January,True,Excelente
142,2024-02-12,Call,4,Agent_D,85,434,Attended,February,False,Crítico
143,2024-01-22,Email,3,Agent_C,66,0,Abandoned,January,False,Excelente
144,2024-01-14,Call,1,Agent_A,55,145,Attended,January,True,Excelente
145,2024-01-02,Call,3,Agent_C,44,0,Abandoned,January,True,Excelente
146,2024-01-25,Chat,2,Agent_B,51,0,Abandoned,January,True,Excelente
147,2024-01-22,Email,4,Agent_D,64,0,Abandoned,January,False,Excelente
148,2024-02-29,Email,4,Agent_D,89,0,Abandoned,February,False,Excelente
149,2024-02-27,Call,1,Agent_A,113,0,Abandoned,February,False,Excelente
150,2024-01-11,Email,5,Agent_E,58,869,Attended,January,True,Crítico
151,2024-01-04,Chat,4,Agent_D,30,892,Attended,January,True,Crítico
152,2024-02-18,Chat,2,Agent_B,95,664,Attended,February,False,Crítico
153,2024-01-29,Call,2,Agent_B,91,416,Attended,January,False,Crítico
154,2024-02-07,Call,5,Agent_E,33,153,Attended,February,True,Excelente
155,2024-01-02,Email,2,Agent_B,10,0,Abandoned,January,True,Excelente
156,2024-01-21,Email,1,Agent_A,6,0,Abandoned,January,True,Excelente
157,2024-02-15,Call,5,Agent_E,109,195,Attended,February,False,Excelente
158,2024-02-14,Chat,4,Agent_D,24,0,Abandoned,February,True,Excelente
159,2024-01-30,Email,1,Agent_A,8,322,Attended,January,True,Crítico
160,2024-01-24,Email,2,Agent_B,50,0,Abandoned,January,True,Excelente
161,2024-02-23,Call,1,Agent_A,34,0,Abandoned,February,True,Excelente
162,2024-02-22,Call,5,Agent_E,111,75,Attended,February,False,Excelente
163,2024-01-08,Call,5,Agent_E,65,0,Abandoned,January,False,Excelente
164,2024-02-26,Chat,3,Agent_C,90,0,Abandoned,February,False,Excelente
165,2024-01-01,Call,5,Agent_E,32,595,Attended,January,True,Crítico
166,2024-01-20,Call,1,Agent_A,57,603,Attended,January,True,Crítico
167,2024-02-29,Chat,4,Agent_D,94,0,Abandoned,February,False,Excelente
168,2024-01-28,Call,1,Agent_A,101,721,Attended,January,False,Crítico
169,2024-02-27,Chat,3,Agent_C,14,471,Attended,February,True,Crítico
170,2024-01-19,Call,4,Agent_D,8,256,Attended,January,True,Bueno
171,2024-02-18,Chat,3,Agent_C,80,783,Attended,February,False,Crítico
172,2024-02-24,Email,2,Agent_B,93,0,Abandoned,February,False,Excelente
173,2024-01-30,Chat,3,Agent_C,70,286,Attended,January,False,Crítico
174,2024-01-28,Chat,5,Agent_E,40,0,Abandoned,January,True,Excelente
175,2024-01-16,Chat,1,Agent_A,111,0,Abandoned,January,False,Excelente
176,2024-01-05,Email,1,Agent_A,118,0,Abandoned,January,False,Excelente
177,2024-01-02,Email,5,Agent_E,60,0,Abandoned,January,True,Excelente
178,2024-01-01,Call,1,Agent_A,16,561,Attended,January,True,Crítico
179,2024-02-13,Call,1,Agent_A,35,0,Abandoned,February,True,Excelente
180,2024-02-13,Email,3,Agent_C,101,0,Abandoned,February,False,Excelente
181,2024-02-29,Call,4,Agent_D,69,0,Abandoned,February,False,Excelente
182,2024-02-09,Email,3,Agent_C,87,888,Attended,February,False,Crítico
183,2024-01-21,Email,2,Agent_B,102,539,Attended,January,False,Crítico
184,2024-01-06,Chat,1,Agent_A,25,440,Attended,January,True,Crítico
185,2024-02-17,Call,4,Agent_D,111,0,Abandoned,February,False,Excelente
186,2024-01-15,Chat,3,Agent_C,72,0,Abandoned,January,False,Excelente
187,2024-01-26,Email,3,Agent_C,9,511,Attended,January,True,Crítico
188,2024-02-17,Email,3,Agent_C,116,726,Attended,February,False,Crítico
189,2024-02-26,Chat,5,Agent_E,48,517,Attended,February,True,Crítico
190,2024-01-10,Email,1,Agent_A,38,397,Attended,January,True,Crítico
191,2024-02-13,Chat,3,Agent_C,38,0,Abandoned,February,True,Excelente
192,2024-01-01,Chat,4,Agent_D,103,0,Abandoned,January,False,Excelente
193,2024-01-04,Call,4,Agent_D,76,0,Abandoned,January,False,Excelente
194,2024-02-25,Email,2,Agent_B,8,0,Abandoned,February,True,Excelente
195,2024-02-08,Chat,2,Agent_B,103,731,Attended,February,False,Crítico
196,2024-01-16,Chat,2,Agent_B,7,265,Attended,January,True,Crítico
197,2024-01-26,Email,3,Agent_C,38,111,Attended,January,True,Excelente
198,2024-02-13,Chat,1,Agent_A,96,0,Abandoned,February,False,Excelente
199,2024-01-08,Call,3,Agent_C,61,0,Abandoned,January,False,Excelente
200,2024-01-25,Call,1,Agent_A,101,502,Attended,January,False,Crítico
201,2024-02-17,Call,3,Agent_C,81,201,Attended,February,False,Excelente
202,2024-01-15,Chat,2,Agent_B,56,0,Abandoned,January,True,Excelente
203,2024-02-27,Chat,2,Agent_B,27,552,Attended,February,True,Crítico
204,2024-01-23,Email,3,Agent_C,107,0,Abandoned,January,False,Excelente
205,2024-01-07,Email,4,Agent_D,85,696,Attended,January,False,Crítico
206,2024-01-10,Chat,4,Agent_D,93,322,Attended,January,False,Crítico
207,2024-02-13,Email,3,Agent_C,26,0,Abandoned,February,True,Excelente
208,2024-02-27,Call,3,Agent_C,6,498,Attended,February,True,Crítico
209,2024-01-22,Email,1,Agent_A,16,0,Abandoned,January,True,Excelente
210,2024-02-17,Chat,3,Agent_C,33,0,Abandoned,February,True,Excelente
211,2024-02-23,Chat,2,Agent_B,108,0,Abandoned,February,False,Excelente
212,2024-02-05,Email,5,Agent_E,83,0,Abandoned,February,False,Excelente
213,2024-02-01,Email,2,Agent_B,37,0,Abandoned,February,True,Excelente
214,2024-02-26,Chat,1,Agent_A,63,0,Abandoned,February,False,Excelente
215,2024-01-22,Call,5,Agent_E,57,267,Attended,January,True,Crítico
216,2024-01-12,Call,4,Agent_D,66,839,Attended,January,False,Crítico
217,2024-02-28,Email,3,Agent_C,98,194,Attended,February,False,Excelente
218,2024-02-25,Call,4,Agent_D,53,0,Abandoned,February,True,Excelente
219,2024-01-01,Chat,5,Agent_E,7,73,Attended,January,True,Excelente
220,2024-01-25,Email,4,Agent_D,51,734,Attended,January,True,Crítico
221,2024-02-22,Email,3,Agent_C,18,0,Abandoned,February,True,Excelente
222,2024-01-29,Chat,4,Agent_D,59,413,Attended,January,True,Crítico
223,2024-01-12,Call,4,Agent_D,26,0,Abandoned,January,True,Excelente
224,2024-02-16,Email,1,Agent_A,111,0,Abandoned,February,False,Excelente
225,2024-02-10,Call,3,Agent_C,83,768,Attended,February,False,Crítico
226,2024-02-16,Chat,3,Agent_C,120,181,Attended,February,False,Excelente
227,2024-02-21,Email,5,Agent_E,81,0,Abandoned,February,False,Excelente
228,2024-02-21,Call,1,Agent_A,54,454,Attended,February,True,Crítico
229,2024-01-05,Email,3,Agent_C,11,0,Abandoned,January,True,Excelente
230,2024-02-24,Email,4,Agent_D,104,810,Attended,February,False,Crítico
231,2024-01-03,Call,4,Agent_D,7,0,Abandoned,January,True,Excelente
232,2024-02-04,Chat,4,Agent_D,38,0,Abandoned,February,True,Excelente
233,2024-02-03,Call,5,Agent_E,38,586,Attended,February,True,Crítico
234,2024-02-24,Email,1,Agent_A,41,0,Abandoned,February,True,Excelente
235,2024-02-01,Call,2,Agent_B,49,713,Attended,February,True,Crítico
236,2024-02-16,Chat,1,Agent_A,73,530,Attended,February,False,Crítico
237,2024-02-29,Email,4,Agent_D,79,0,Abandoned,February,False,Excelente
238,2024-01-23,Chat,4,Agent_D,32,0,Abandoned,January,True,Excelente
239,2024-02-12,Call,3,Agent_C,29,177,Attended,February,True,Excelente
240,2024-02-12,Email,5,Agent_E,52,0,Abandoned,February,True,Excelente
241,2024-01-04,Email,5,Agent_E,15,394,Attended,January,True,Crítico
242,2024-01-12,Call,5,Agent_E,93,787,Attended,January,False,Crítico
243,2024-01-26,Chat,2,Agent_B,36,816,Attended,January,True,Crítico
244,2024-01-01,Email,3,Agent_C,47,0,Abandoned,January,True,Excelente
245,2024-02-20,Chat,2,Agent_B,92,776,Attended,February,False,Crítico
246,2024-02-05,Email,1,Agent_A,71,0,Abandoned,February,False,Excelente
247,2024-01-22,Chat,1,Agent_A,79,0,Abandoned,January,False,Excelente
248,2024-01-23,Call,3,Agent_C,117,0,Abandoned,January,False,Excelente
249,2024-01-21,Email,1,Agent_A,120,231,Attended,January,False,Bueno
250,2024-02-09,Call,2,Agent_B,42,0,Abandoned,February,True,Excelente
251,2024-02-23,Call,3,Agent_C,114,245,Attended,February,False,Bueno
252,2024-01-24,Call,2,Agent_B,66,265,Attended,January,False,Crítico
253,2024-01-16,Call,2,Agent_B,113,193,Attended,January,False,Excelente
254,2024-01-05,Email,4,Agent_D,29,440,Attended,January,True,Crítico
255,2024-02-05,Chat,2,Agent_B,97,0,Abandoned,February,False,Excelente
256,2024-01-12,Call,2,Agent_B,93,343,Attended,January,False,Crítico
257,2024-02-05,Call,5,Agent_E,91,0,Abandoned,February,False,Excelente
258,2024-02-10,Call,2,Agent_B,34,0,Abandoned,February,True,Excelente
259,2024-01-08,Call,1,Agent_A,83,0,Abandoned,January,False,Excelente
260,2024-02-05,Chat,4,Agent_D,98,851,Attended,February,False,Crítico
261,2024-02-18,Chat,4,Agent_D,9,682,Attended,February,True,Crítico
262,2024-02-16,Email,4,Agent_D,120,559,Attended,February,False,Crítico
263,2024-02-26,Call,2,Agent_B,70,0,Abandoned,February,False,Excelente
264,2024-01-03,Call,3,Agent_C,90,0,Abandoned,January,False,Excelente
265,2024-01-21,Call,4,Agent_D,34,0,Abandoned,January,True,Excelente
266,2024-01-25,Email,1,Agent_A,69,0,Abandoned,January,False,Excelente
267,2024-01-17,Chat,3,Agent_C,70,206,Attended,January,False,Excelente
268,2024-01-04,Call,5,Agent_E,120,164,Attended,January,False,Excelente
269,2024-02-08,Chat,3,Agent_C,89,0,Abandoned,February,False,Excelente
270,2024-02-08,Chat,5,Agent_E,30,820,Attended,February,True,Crítico
271,2024-01-27,Email,3,Agent_C,92,0,Abandoned,January,False,Excelente
272,2024-01-20,Chat,5,Agent_E,30,369,Attended,January,True,Crítico
273,2024-01-03,Chat,5,Agent_E,35,0,Abandoned,January,True,Excelente
274,2024-01-22,Chat,1,Agent_A,67,0,Abandoned,January,False,Excelente
275,2024-02-19,Email,2,Agent_B,88,0,Abandoned,February,False,Excelente
276,2024-01-05,Call,3,Agent_C,11,891,Attended,January,True,Crítico
277,2024-01-09,Call,3,Agent_C,96,0,Abandoned,January,False,Excelente
278,2024-01-25,Call,1,Agent_A,8,718,Attended,January,True,Crítico
279,2024-01-04,Email,1,Agent_A,82,302,Attended,January,False,Crítico
280,2024-01-31,Call,1,Agent_A,103,259,Attended,January,False,Bueno
281,2024-01-11,Email,3,Agent_C,56,0,Abandoned,January,True,Excelente
282,2024-02-26,Call,3,Agent_C,89,616,Attended,February,False,Crítico
283,2024-02-03,Call,4,Agent_D,84,289,Attended,February,False,Crítico
284,2024-01-07,Chat,2,Agent_B,68,0,Abandoned,January,False,Excelente
285,2024-01-12,Chat,4,Agent_D,107,485,Attended,January,False,Crítico
286,2024-02-15,Call,3,Agent_C,7,0,Abandoned,February,True,Excelente
287,2024-01-11,Chat,1,Agent_A,116,116,Attended,January,False,Excelente
288,2024-01-02,Chat,1,Agent_A,42,358,Attended,January,True,Crítico
289,2024-01-16,Chat,4,Agent_D,101,658,Attended,January,False,Crítico
290,2024-02-10,Email,5,Agent_E,66,805,Attended,February,False,Crítico
291,2024-02-18,Chat,3,Agent_C,20,0,Abandoned,February,True,Excelente
292,2024-02-18,Chat,5,Agent_E,10,269,Attended,February,True,Crítico
293,2024-02-06,Email,1,Agent_A,43,0,Abandoned,February,True,Excelente
294,2024-02-06,Email,5,Agent_E,88,485,Attended,February,False,Crítico
295,2024-01-25,Chat,4,Agent_D,51,0,Abandoned,January,True,Excelente
296,2024-02-19,Call,5,Agent_E,42,551,Attended,February,True,Crítico
297,2024-01-17,Call,2,Agent_B,15,798,Attended,January,True,Crítico
298,2024-02-27,Chat,2,Agent_B,39,839,Attended,February,True,Crítico
299,2024-01-10,Chat,2,Agent_B,27,500,Attended,January,True,Crítico
300,2024-02-28,Chat,2,Agent_B,42,0,Abandoned,February,True,Excelente
301,2024-01-24,Call,2,Agent_B,78,0,Abandoned,January,False,Excelente
302,2024-02-14,Call,5,Agent_E,88,355,Attended,February,False,Crítico
303,2024-02-03,Call,4,Agent_D,57,0,Abandoned,February,True,Excelente
304,2024-01-18,Email,4,Agent_D,31,0,Abandoned,January,True,Excelente
305,2024-02-23,Call,2,Agent_B,36,0,Abandoned,February,True,Excelente
306,2024-01-28,Chat,5,Agent_E,118,0,Abandoned,January,False,Excelente
307,2024-01-22,Email,5,Agent_E,100,0,Abandoned,January,False,Excelente
308,2024-01-10,Email,1,Agent_A,67,624,Attended,January,False,Crítico
309,2024-02-22,Email,1,Agent_A,106,522,Attended,February,False,Crítico
310,2024-01-26,Chat,2,Agent_B,49,158,Attended,January,True,Excelente
311,2024-02-07,Email,5,Agent_E,42,0,Abandoned,February,True,Excelente
312,2024-02-19,Call,5,Agent_E,13,488,Attended,February,True,Crítico
313,2024-01-16,Email,1,Agent_A,28,502,Attended,January,True,Crítico
314,2024-02-25,Call,2,Agent_B,84,375,Attended,February,False,Crítico
315,2024-01-03,Email,4,Agent_D,34,0,Abandoned,January,True,Excelente
316,2024-02-22,Email,2,Agent_B,93,0,Abandoned,February,False,Excelente
317,2024-02-05,Call,1,Agent_A,74,0,Abandoned,February,False,Excelente
318,2024-01-29,Chat,2,Agent_B,84,0,Abandoned,January,False,Excelente
319,2024-01-12,Call,5,Agent_E,107,0,Abandoned,January,False,Excelente
320,2024-01-13,Email,1,Agent_A,58,268,Attended,January,True,Crítico
321,2024-02-07,Chat,4,Agent_D,6,0,Abandoned,February,True,Excelente
322,2024-02-04,Call,5,Agent_E,17,0,Abandoned,February,True,Excelente
323,2024-01-26,Chat,2,Agent_B,18,584,Attended,January,True,Crítico
324,2024-02-18,Call,3,Agent_C,75,593,Attended,February,False,Crítico
325,2024-01-08,Call,5,Agent_E,14,0,Abandoned,January,True,Excelente
326,2024-01-04,Call,1,Agent_A,44,0,Abandoned,January,True,Excelente
327,2024-02-06,Email,2,Agent_B,110,474,Attended,February,False,Crítico
328,2024-02-24,Call,3,Agent_C,53,0,Abandoned,February,True,Excelente
329,2024-02-25,Chat,4,Agent_D,16,151,Attended,February,True,Excelente
330,2024-02-24,Chat,2,Agent_B,19,0,Abandoned,February,True,Excelente
331,2024-02-05,Chat,5,Agent_E,45,84,Attended,February,True,Excelente
332,2024-02-19,Chat,1,Agent_A,30,0,Abandoned,February,True,Excelente
333,2024-01-22,Chat,4,Agent_D,58,547,Attended,January,True,Crítico
334,2024-01-15,Chat,2,Agent_B,14,0,Abandoned,January,True,Excelente
335,2024-02-04,Chat,4,Agent_D,45,0,Abandoned,February,True,Excelente
336,2024-02-22,Email,4,Agent_D,26,443,Attended,February,True,Crítico
337,2024-01-18,Email,1,Agent_A,28,0,Abandoned,January,True,Excelente
338,2024-02-15,Call,1,Agent_A,101,337,Attended,February,False,Crítico
339,2024-01-13,Call,1,Agent_A,6,439,Attended,January,True,Crítico
340,2024-01-26,Email,4,Agent_D,118,0,Abandoned,January,False,Excelente
341,2024-01-01,Chat,5,Agent_E,104,0,Abandoned,January,False,Excelente
342,2024-01-14,Email,2,Agent_B,45,0,Abandoned,January,True,Excelente
343,2024-01-09,Call,2,Agent_B,26,0,Abandoned,January,True,Excelente
344,2024-02-22,Call,5,Agent_E,31,161,Attended,February,True,Excelente
345,2024-02-18,Call,2,Agent_B,73,373,Attended,February,False,Crítico
346,2024-02-10,Chat,1,Agent_A,40,429,Attended,February,True,Crítico
347,2024-02-13,Chat,5,Agent_E,35,0,Abandoned,February,True,Excelente
348,2024-02-26,Call,3,Agent_C,109,0,Abandoned,February,False,Excelente
349,2024-02-17,Chat,2,Agent_B,61,122,Attended,February,False,Excelente
350,2024-02-05,Call,4,Agent_D,63,0,Abandoned,February,False,Excelente
351,2024-02-07,Chat,4,Agent_D,44,0,Abandoned,February,True,Excelente
352,2024-02-15,Email,2,Agent_B,95,666,Attended,February,False,Crítico
353,2024-02-15,Email,5,Agent_E,58,837,Attended,February,True,Crítico
354,2024-02-18,Chat,3,Agent_C,54,370,Attended,February,True,Crítico
355,2024-01-29,Chat,1,Agent_A,86,0,Abandoned,January,False,Excelente
356,2024-02-18,Call,1,Agent_A,55,782,Attended,February,True,Crítico
357,2024-01-26,Call,5,Agent_E,51,803,Attended,January,True,Crítico
358,2024-01-17,Call,1,Agent_A,66,135,Attended,January,False,Excelente
359,2024-01-08,Chat,4,Agent_D,21,589,Attended,January,True,Crítico
360,2024-01-06,Call,2,Agent_B,54,279,Attended,January,True,Crítico
361,2024-02-16,Email,5,Agent_E,64,0,Abandoned,February,False,Excelente
362,2024-01-11,Email,3,Agent_C,6,0,Abandoned,January,True,Excelente
